,Make,Model,Rating,Depreciation
0,mg,mg6,2,45
1,mg,mg3,2,33
2,mg,gs,3,31
3,mg,zs,3,67
4,volvo,c30,2,33
5,volvo,s40,3,35
6,volvo,v50,2,23
7,volvo,s60,3,33
8,volvo,v70,3,10
9,volvo,c70,3,31
10,volvo,s80,1,25
11,volvo,xc70,3,21
12,volvo,xc90,4,27
13,volvo,xc60,5,53
14,volvo,v60,4,40
15,volvo,v40,3,37
16,volvo,s90,4,41
17,volvo,v90,4,43
18,nissan,micra,4,53
19,nissan,gt-r,4,26
20,nissan,qashqai,4,44
21,nissan,x-trail,3,38
22,nissan,pathfinder,2,22
23,nissan,pixo,2,35
24,nissan,juke,3,40
25,nissan,leaf,4,57
26,nissan,navara,4,53
27,nissan,nv200,3,60
28,nissan,pulsar,3,42
29,kia,picanto,4,39
30,kia,rio,3,36
31,kia,carens,3,34
32,kia,sedona,2,97
33,kia,sportage,3,54
34,kia,sorento,4,52
35,kia,soul,3,41
36,kia,venga,3,40
37,kia,optima,3,41
38,kia,niro,3,33
39,proton,savvy,2,36
40,proton,gen-2,1,38
41,citroen,c1,3,40
42,citroen,c3,4,19
43,citroen,c4,2,41
44,citroen,c5,2,96
45,citroen,c-crosser,2,35
46,citroen,c6,2,30
47,citroen,ds3,3,37
48,citroen,ds4,3,42
49,citroen,ds5,3,43
50,citroen,dispatch,4,35
51,citroen,berlingo,4,14
52,seat,ibiza,4,45
53,seat,leon,4,41
54,seat,altea,2,92
55,seat,toledo,3,54
56,seat,alhambra,4,40
57,seat,exeo,2,91
58,seat,mii,4,55
59,seat,ateca,4,22
60,mclaren,12c,4,18
61,mclaren,570s,5,29
62,mclaren,650s,4,14
63,mclaren,570gt,4,1
64,hyundai,i10,4,40
65,hyundai,i30,3,53
66,hyundai,i800,2,55
67,hyundai,tucson,3,34
68,hyundai,i20,3,46
69,hyundai,ix35,2,34
70,hyundai,ix20,4,29
71,hyundai,i40,3,37
72,hyundai,ioniq,3,26
73,renault,twingo,3,39
74,renault,clio,3,38
75,renault,megane,4,42
76,renault,scenic,4,47
77,renault,koleos,4,65
78,renault,twizy,2,12
79,renault,zoe,4,69
80,renault,captur,3,44
81,renault,master,4,89
82,renault,trafic,4,42
83,renault,kadjar,4,44
84,smart,fortwo,3,49
85,smart,forfour,3,53
86,dacia,duster,4,26
87,dacia,sandero,3,25
88,bmw,z4,3,16
89,bmw,x3,4,44
90,bmw,x5,3,50
91,bmw,x6,3,43
92,bmw,x1,4,30
93,bmw,i3,4,44
94,bmw,i8,4,42
95,bmw,x4,3,44
96,vauxhall,agila,3,20
97,vauxhall,corsa,3,46
98,vauxhall,meriva,3,30
99,vauxhall,astra,4,52
100,vauxhall,zafira,2,77
101,vauxhall,vectra,1,96
102,vauxhall,antara,2,16
103,vauxhall,vxr8,4,11
104,vauxhall,insignia,4,53
105,vauxhall,ampera,3,28
106,vauxhall,adam,3,46
107,vauxhall,cascada,3,50
108,vauxhall,combo,4,64
109,vauxhall,viva,3,55
110,saab,9-5,1,10
111,lotus,elise,3,3
112,lotus,exige,3,22
113,lotus,evora,3,14
114,suzuki,splash,3,15
115,suzuki,swift,3,47
116,suzuki,sx4,1,19
117,suzuki,jimny,3,5
118,suzuki,alto,3,7
119,suzuki,ignis,4,17
120,suzuki,vitara,3,31
121,suzuki,celerio,3,16
122,suzuki,baleno,3,41
123,subaru,impreza,2,38
124,subaru,legacy,2,25
125,subaru,forester,3,33
126,subaru,outback,3,26
127,subaru,xv,3,37
128,subaru,brz,4,34
129,subaru,levorg,3,32
130,ferrari,458,4,29
131,ferrari,california,4,11
132,ferrari,ff,3,12
133,audi,a3,3,67
134,audi,s3,3,33
135,audi,a4,4,47
136,audi,rs4,4,25
137,audi,a5,5,47
138,audi,rs6,4,77
139,audi,a8,4,60
140,audi,s8,2,59
141,audi,r8,4,22
142,audi,tt,4,37
143,audi,q7,4,36
144,audi,q5,4,49
145,audi,a1,3,34
146,audi,rs5,4,41
147,audi,a7,4,47
148,audi,rs3,3,24
149,audi,q3,3,34
150,audi,s7,3,53
151,audi,rs7,2,47
152,audi,s1,3,31
153,audi,sq5,2,29
154,audi,q2,4,32
155,mazda,mx-5,5,37
156,mazda,rx-8,2,95
157,mazda,cx-7,2,3
158,mazda,cx-5,4,42
159,mazda,cx-3,4,26
160,fiat,panda,4,41
161,fiat,500,3,27
162,fiat,bravo,2,34
163,fiat,doblo,3,34
164,fiat,qubo,3,48
165,fiat,punto,1,50
166,fiat,tipo,3,42
167,abarth,500,3,35
168,rolls-royce,phantom,5,40
169,rolls-royce,ghost,4,35
170,rolls-royce,dawn,4,22
171,chevrolet,camaro,2,69
172,chevrolet,captiva,2,36
173,chevrolet,aveo,1,82
174,chevrolet,cruze,1,21
175,chevrolet,spark,2,22
176,chevrolet,orlando,2,96
177,chevrolet,corvette,4,32
178,lamborghini,gallardo,3,1
179,lamborghini,huracan,4,17
180,skoda,yeti,3,28
181,skoda,fabia,4,41
182,skoda,roomster,2,92
183,skoda,octavia,4,39
184,skoda,superb,5,45
185,skoda,citigo,4,32
186,skoda,rapid,3,43
187,jeep,wrangler,3,10
188,jeep,compass,3,58
189,jeep,cherokee,3,38
190,jeep,renegade,3,37
191,chrysler,300c,2,45
192,chrysler,ypsilon,2,27
193,jaguar,xf,4,40
194,jaguar,xj,3,53
195,jaguar,xk,3,92
196,jaguar,xkr,4,30
197,jaguar,xe,4,42
198,ford,ka,2,50
199,ford,fiesta,5,31
200,ford,fusion,2,35
201,ford,focus,4,37
202,ford,c-max,3,53
203,ford,kuga,3,48
204,ford,mondeo,3,38
205,ford,s-max,4,52
206,ford,galaxy,3,25
207,ford,ranger,3,14
208,ford,b-max,4,24
209,ford,transit,4,29
210,ford,ecosport,2,44
211,ford,edge,3,35
212,mini,clubman,3,25
213,mini,countryman,4,43
214,mini,coupe,3,49
215,mini,roadster,3,21
216,mini,paceman,3,8
217,peugeot,107,3,28
218,peugeot,207,2,7
219,peugeot,308,4,49
220,peugeot,3008,5,57
221,peugeot,5008,5,58
222,peugeot,rcz,3,3
223,peugeot,ion,2,53
224,peugeot,508,2,56
225,peugeot,208,3,28
226,peugeot,2008,4,68
227,peugeot,108,3,42
228,peugeot,expert,4,29
229,peugeot,partner,4,36
230,mitsubishi,outlander,3,40
231,mitsubishi,shogun,2,37
232,mitsubishi,asx,2,24
233,mitsubishi,lancer,2,8
234,mitsubishi,l200,5,42
235,mitsubishi,mirage,2,32
236,toyota,aygo,3,40
237,toyota,yaris,3,29
238,toyota,auris,3,47
239,toyota,verso,3,38
240,toyota,avensis,3,34
241,toyota,prius,4,21
242,toyota,rav4,3,36
243,toyota,iq,4,23
244,toyota,hilux,4,42
245,toyota,proace,4,49
246,toyota,c-hr,4,14
247,isuzu,d-max,3,44
248,infiniti,qx70,2,56
249,infiniti,g,2,29
250,infiniti,m,1,4
251,infiniti,q50,2,62
252,infiniti,q30,3,33
253,infiniti,q60,2,40
254,infiniti,q70,3,59
255,infiniti,qx30,3,42
256,porsche,boxster,4,26
257,porsche,911,5,48
258,porsche,cayenne,4,26
259,porsche,panamera,4,42
260,porsche,macan,4,16
261,honda,jazz,3,35
262,honda,civic,4,34
263,honda,accord,3,35
264,honda,cr-v,3,21
265,honda,insight,2,96
266,honda,cr-z,3,96
267,honda,nsx,4,10
268,honda,hr-v,4,29
269,volkswagen,polo,4,11
270,volkswagen,golf,5,12
271,volkswagen,jetta,2,42
272,volkswagen,beetle,3,41
273,volkswagen,eos,3,92
274,volkswagen,passat,4,42
275,volkswagen,touran,4,39
276,volkswagen,sharan,3,41
277,volkswagen,tiguan,4,37
278,volkswagen,touareg,4,52
279,volkswagen,phaeton,2,10
280,volkswagen,caravelle,4,25
281,volkswagen,scirocco,3,40
282,volkswagen,amarok,4,52
283,volkswagen,caddy,3,51
284,volkswagen,transporter,4,25
285,bentley,mulsanne,4,49
286,bentley,bentayga,3,29
287,ssangyong,rodius,1,55
288,ssangyong,rexton,4,50
289,ssangyong,korando,3,30
290,ssangyong,turismo,3,33
291,ssangyong,tivoli,3,34
292,maserati,quattroporte,3,59
293,maserati,granturismo,3,37
294,maserati,grancabrio,3,48
295,maserati,ghibli,3,47
296,maserati,levante,3,34
